Male,India,55,Programmer,Other,I did not complete any formal education past high school,,I don't write code to analyze data,High school
Male,India,30,Software Developer/Software Engineer,Python,Bachelor's degree,Computer Science,1 to 2 years,A bachelor's degree
Male,Other,37,Software Developer/Software Engineer,C/C++/C#,Master's degree,I never declared a major,I don't write code to analyze data,A master's degree
Male,India,37,Business Analyst,Matlab,Bachelor's degree,Mathematics or statistics,I don't write code to analyze data,A master's degree
Male,Other,39,Data Analyst,R,Master's degree,Other,1 to 2 years,A bachelor's degree
Female,Other,23,,Python,Some college/university study without earning a bachelor's degree,Mathematics or statistics,,A master's degree
Male,India,22,Software Developer/Software Engineer,R,Bachelor's degree,Computer Science,1 to 2 years,A master's degree
Male,France,23,,Python,Master's degree,Engineering (non-computer focused),1 to 2 years,"Some college/university study, no bachelor's degree"
Male,Argentina,37,,,,,,
Female,India,25,,,,,,
Male,Russia,24,,Python,Master's degree,Computer Science,,A professional degree
Male,Other,29,Researcher,Python,Master's degree,Electrical Engineering,I don't write code to analyze data,A master's degree
Male,Netherlands,34,Software Developer/Software Engineer,Python,Master's degree,"Information technology, networking, or system administration",6 to 10 years,A bachelor's degree
Male,Hungary,38,Data Analyst,R,Master's degree,Engineering (non-computer focused),1 to 2 years,A bachelor's degree
Male,India,26,Software Developer/Software Engineer,Python,Bachelor's degree,Computer Science,3 to 5 years,"Some college/university study, no bachelor's degree"
Male,Belarus,22,Machine Learning Engineer,Python,Professional degree,,3 to 5 years,"Some college/university study, no bachelor's degree"
Male,India,28,Other,SAS,Master's degree,Other,Less than a year,A master's degree
Male,United States,27,Software Developer/Software Engineer,Python,Bachelor's degree,Computer Science,Less than a year,A bachelor's degree
Male,Belgium,55,,,,,,
Male,Pakistan,22,,Python,Bachelor's degree,Computer Science,1 to 2 years,
Male,Pakistan,27,Software Developer/Software Engineer,Python,Master's degree,Computer Science,Less than a year,Primary/elementary school
Male,India,28,Data Analyst,Python,Bachelor's degree,Computer Science,I don't write code to analyze data,Primary/elementary school
Male,India,27,,SQL,Master's degree,Mathematics or statistics,3 to 5 years,Primary/elementary school
Male,Nigeria,33,Other,Python,Master's degree,Computer Science,Less than a year,Primary/elementary school
Male,India,29,Other,Python,Bachelor's degree,Engineering (non-computer focused),6 to 10 years,A bachelor's degree
Male,Germany,34,,R,Master's degree,Engineering (non-computer focused),3 to 5 years,
Male,Japan,62,Software Developer/Software Engineer,Python,Bachelor's degree,Electrical Engineering,More than 10 years,A bachelor's degree
Male,Russia,36,,Python,Master's degree,Mathematics or statistics,Less than a year,A master's degree
Male,Norway,37,Data Scientist,Python,Master's degree,Computer Science,Less than a year,A professional degree
Male,France,30,Machine Learning Engineer,Matlab,Doctoral degree,Engineering (non-computer focused),6 to 10 years,A doctoral degree
Female,India,35,Scientist/Researcher,Java,Master's degree,Computer Science,More than 10 years,A master's degree
Male,Other,27,Statistician,R,Master's degree,Mathematics or statistics,1 to 2 years,
Female,Spain,42,Predictive Modeler,R,Master's degree,,6 to 10 years,A bachelor's degree
Male,Iran,21,Scientist/Researcher,Python,Bachelor's degree,Computer Science,1 to 2 years,"Some college/university study, no bachelor's degree"
Female,Germany,26,,Python,Master's degree,Computer Science,Less than a year,Primary/elementary school
Male,Ukraine,34,,Python,Master's degree,Other,Less than a year,"Some college/university study, no bachelor's degree"
Male,France,21,,Python,Bachelor's degree,Computer Science,,A master's degree
Male,Russia,29,Other,R,Master's degree,Computer Science,3 to 5 years,"Some college/university study, no bachelor's degree"
Female,South Africa,25,Researcher,Python,Bachelor's degree,Mathematics or statistics,3 to 5 years,"Some college/university study, no bachelor's degree"
Male,Russia,20,,,,,,
Female,Belarus,22,Data Scientist,Python,Master's degree,Mathematics or statistics,3 to 5 years,"Some college/university study, no bachelor's degree"
Male,Other,27,Data Scientist,R,Bachelor's degree,Mathematics or statistics,3 to 5 years,A bachelor's degree
Male,India,20,,R,Bachelor's degree,Computer Science,,A doctoral degree
Male,Czech Republic,25,Data Analyst,SQL,Master's degree,Mathematics or statistics,1 to 2 years,High school
Male,France,30,Other,Python,Master's degree,Other,I don't write code to analyze data,High school
Male,Iran,25,Software Developer/Software Engineer,Python,Master's degree,Electrical Engineering,Less than a year,A master's degree
Male,India,27,,,,,,
Male,Finland,38,Data Scientist,Python,Master's degree,"Information technology, networking, or system administration",More than 10 years,
Male,United States,38,Software Developer/Software Engineer,Python,Bachelor's degree,Computer Science,6 to 10 years,A bachelor's degree
Male,France,35,Data Scientist,Python,Master's degree,Mathematics or statistics,1 to 2 years,A doctoral degree
Male,Republic of China,33,Machine Learning Engineer,Python,Master's degree,Computer Science,6 to 10 years,High school
Male,Sweden,42,Data Scientist,Python,Master's degree,Computer Science,3 to 5 years,A bachelor's degree
Male,Nigeria,28,Data Analyst,Python,Master's degree,A social science,Less than a year,"Some college/university study, no bachelor's degree"
Male,Hungary,26,Software Developer/Software Engineer,Python,Some college/university study without earning a bachelor's degree,Computer Science,Less than a year,A doctoral degree
Male,Denmark,34,Data Scientist,Python,Doctoral degree,Physics,More than 10 years,A bachelor's degree
Female,Italy,27,Data Analyst,R,Master's degree,Mathematics or statistics,3 to 5 years,A master's degree
Male,France,20,,Python,Bachelor's degree,Mathematics or statistics,,A master's degree
Male,France,23,,Python,Some college/university study without earning a bachelor's degree,Engineering (non-computer focused),Less than a year,A bachelor's degree
Male,Australia,22,Other,Python,Bachelor's degree,Computer Science,Less than a year,"Some college/university study, no bachelor's degree"
Male,Ireland,32,Data Scientist,R,Master's degree,,6 to 10 years,A master's degree
Male,Ukraine,23,Data Analyst,R,Bachelor's degree,Physics,1 to 2 years,"Some college/university study, no bachelor's degree"
Female,Iran,29,Data Scientist,,Master's degree,Computer Science,Less than a year,
Male,United Kingdom,32,Data Scientist,Python,Doctoral degree,Mathematics or statistics,More than 10 years,A bachelor's degree
Male,India,20,,R,Bachelor's degree,Computer Science,1 to 2 years,A doctoral degree
Male,France,30,Data Scientist,Python,Master's degree,Computer Science,Less than a year,A doctoral degree
Male,Sweden,50,Scientist/Researcher,Python,Doctoral degree,Physics,More than 10 years,Primary/elementary school
Male,Japan,59,Data Scientist,Python,Doctoral degree,Engineering (non-computer focused),More than 10 years,A doctoral degree
Male,Denmark,40,Researcher,Python,Doctoral degree,Computer Science,More than 10 years,Primary/elementary school
Male,India,24,Data Scientist,R,Master's degree,A social science,1 to 2 years,A master's degree
Male,Germany,31,Scientist/Researcher,Python,Master's degree,Engineering (non-computer focused),1 to 2 years,A master's degree
Male,Italy,25,,Python,Master's degree,Computer Science,1 to 2 years,A master's degree
Male,India,33,Business Analyst,SAS,Master's degree,Engineering (non-computer focused),I don't write code to analyze data,Primary/elementary school
Male,Germany,32,Scientist/Researcher,R,Doctoral degree,Mathematics or statistics,3 to 5 years,A master's degree
Male,United States,32,Data Scientist,Python,Doctoral degree,Physics,6 to 10 years,A doctoral degree
Male,Other,23,Software Developer/Software Engineer,Python,Some college/university study without earning a bachelor's degree,Computer Science,Less than a year,High school
Male,United States,30,Data Scientist,,Doctoral degree,Computer Science,6 to 10 years,A professional degree
Male,Netherlands,30,Data Scientist,Python,Doctoral degree,Physics,More than 10 years,A bachelor's degree
Male,France,27,Researcher,,Doctoral degree,Computer Science,6 to 10 years,A master's degree
Male,India,26,,Python,Master's degree,Mathematics or statistics,,"Some college/university study, no bachelor's degree"
Male,Italy,24,,Python,Master's degree,Computer Science,,A master's degree
Male,India,26,,Python,Bachelor's degree,Computer Science,I don't write code to analyze data,"Some college/university study, no bachelor's degree"
Male,Other,29,Data Analyst,Matlab,Master's degree,Engineering (non-computer focused),1 to 2 years,A master's degree
Male,Japan,34,,,,,,
Male,Spain,36,Programmer,Python,Bachelor's degree,Computer Science,3 to 5 years,A bachelor's degree
Female,United States,30,,,,,,
Male,India,21,,R,Bachelor's degree,"Information technology, networking, or system administration",Less than a year,"Some college/university study, no bachelor's degree"
Male,South Korea,29,,SQL,Bachelor's degree,Mathematics or statistics,1 to 2 years,High school
Male,Poland,30,Data Scientist,R,Master's degree,Mathematics or statistics,3 to 5 years,"Some college/university study, no bachelor's degree"
Male,South Africa,31,Scientist/Researcher,Python,Doctoral degree,Electrical Engineering,6 to 10 years,"Some college/university study, no bachelor's degree"
Male,India,33,Software Developer/Software Engineer,R,Master's degree,Engineering (non-computer focused),1 to 2 years,High school
Male,United Kingdom,38,Scientist/Researcher,Python,Doctoral degree,Biology,6 to 10 years,A professional degree
Male,India,26,Machine Learning Engineer,Python,Bachelor's degree,Electrical Engineering,3 to 5 years,Primary/elementary school
Male,Italy,26,,,Master's degree,Computer Science,3 to 5 years,
Male,Belgium,35,Computer Scientist,Matlab,Master's degree,Computer Science,Less than a year,A doctoral degree
Male,Singapore,32,Computer Scientist,Python,Some college/university study without earning a bachelor's degree,Computer Science,Less than a year,"Some college/university study, no bachelor's degree"
Male,Taiwan,40,Data Analyst,Python,Doctoral degree,Engineering (non-computer focused),6 to 10 years,Primary/elementary school
Male,Pakistan,21,,Python,I did not complete any formal education past high school,,,A bachelor's degree
Male,Spain,20,,SAS,Master's degree,Mathematics or statistics,1 to 2 years,A master's degree
Male,India,22,Machine Learning Engineer,Python,Bachelor's degree,Computer Science,Less than a year,I don't know/not sure
Male,India,27,Engineer,Python,Master's degree,Engineering (non-computer focused),Less than a year,A bachelor's degree
Male,Brazil,20,,Python,Some college/university study without earning a bachelor's degree,Computer Science,,A bachelor's degree
Male,Other,27,Data Scientist,Python,Bachelor's degree,Computer Science,1 to 2 years,"Some college/university study, no bachelor's degree"
Male,India,27,Business Analyst,Python,Master's degree,Engineering (non-computer focused),I don't write code to analyze data,A master's degree
Female,France,50,,,,,,
Male,South Korea,23,,Python,Bachelor's degree,Mathematics or statistics,,A bachelor's degree
Female,Italy,25,Data Scientist,Python,Master's degree,Physics,1 to 2 years,A master's degree
Male,Germany,43,Other,Python,Doctoral degree,Computer Science,More than 10 years,A master's degree
Male,Ukraine,50,Programmer,Python,Bachelor's degree,Mathematics or statistics,Less than a year,High school
Male,Norway,36,,,,,,
Female,France,45,,,,,,
Female,India,22,,R,Bachelor's degree,Computer Science,,A master's degree
Male,Singapore,25,Data Scientist,Python,Master's degree,Management information systems,1 to 2 years,"Some college/university study, no bachelor's degree"
Male,Other,45,Software Developer/Software Engineer,,Master's degree,"Information technology, networking, or system administration",More than 10 years,No education
Male,India,40,Engineer,,Master's degree,Electrical Engineering,1 to 2 years,Primary/elementary school
Male,Russia,22,Software Developer/Software Engineer,C/C++/C#,Professional degree,,Less than a year,
Male,Greece,45,Other,Java,Doctoral degree,Computer Science,3 to 5 years,A bachelor's degree
